time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-11T14:39:22.600Z,44.7948333,-110.8358333,4.87,1.44,ml,17,110,0.0123,0.16,uu,uu60539651,2023-05-11T18:17:13.870Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.38,0.51,0.453,3,reviewed,uu,uu
2023-05-11T14:36:38.057Z,1.2392,97.1193,34.605,4.9,mb,52,119,0.461,0.98,us,us6000kb41,2023-05-11T14:57:49.040Z,"55 km W of Gunungsitoli, Indonesia",earthquake,8.31,5.379,0.075,56,reviewed,us,us
2023-05-11T14:16:05.350Z,44.6518333,-110.4386667,4.78,1.93,ml,17,69,0.08004,0.16,uu,uu60539641,2023-05-11T18:14:05.710Z,"41 km SSE of Mammoth, Wyoming",earthquake,0.32,0.62,0.607,3,reviewed,uu,uu
2023-05-11T14:11:43.261Z,61.3989,-150.7057,50.9,1.7,ml,,,,0.38,ak,ak02360vszdi,2023-05-11T22:15:09.120Z,"19 km SSW of Susitna, Alaska",earthquake,,1.3,,,automatic,ak,ak
2023-05-11T14:00:13.600Z,19.1746673583984,-155.405334472656,31.9899997711182,2,md,44,166,,0.129999995,hv,hv73396597,2023-05-11T14:05:44.430Z,"8 km ESE of Pāhala, Hawaii",earthquake,0.6,0.75999999,1.12,12,automatic,hv,hv
2023-05-11T13:59:15.742Z,65.5927,-145.0762,19.1,1.6,ml,,,,0.31,ak,ak02360vhs0m,2023-05-11T14:01:14.290Z,"12 km W of Central, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-05-11T13:50:07.350Z,24.2054,125.337,28.576,4.8,mb,24,215,2.137,0.58,us,us6000kb3j,2023-05-11T14:14:41.040Z,"64 km S of Miyakojima, Japan",earthquake,15.99,8.669,0.084,44,reviewed,us,us
2023-05-11T13:34:50.627Z,63.0366,-151.0531,124.8,1.5,ml,,,,0.31,ak,ak02360vchqx,2023-05-11T13:38:24.035Z,"61 km NNW of Petersville, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-05-11T13:33:14.013Z,24.212,125.2916,24.636,5.9,mww,58,40,2.095,1.17,us,us6000kb3g,2023-05-11T21:33:43.040Z,"64 km S of Miyakojima, Japan",earthquake,7.19,4.816,0.071,19,reviewed,us,us
2023-05-11T13:27:56.915Z,63.0579,-150.5273,96.4,1.9,ml,,,,0.64,ak,ak02360vb0a3,2023-05-11T13:30:10.426Z,"63 km N of Petersville, Alaska",earthquake,,1,,,automatic,ak,ak
2023-05-11T13:24:30.100Z,58.1911666666667,-155.3175,3.19,1.26,ml,12,150,,0.16,av,av91882691,2023-05-11T22:19:05.990Z,"86 km NW of Karluk, Alaska",earthquake,0.37,0.5,0.291041083174374,12,reviewed,av,av
2023-05-11T13:21:28.916Z,62.5335,-149.5784,10.1,1.8,ml,,,,0.58,ak,ak02360v9ntn,2023-05-11T13:23:34.677Z,"28 km ENE of Chase, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-05-11T13:19:17.500Z,35.3748333,-118.4711667,4.59,1.05,ml,16,79,0.09297,0.11,ci,ci40222791,2023-05-11T19:09:26.301Z,"24km S of Bodfish, CA",earthquake,0.2,0.66,0.102,7,reviewed,ci,ci
2023-05-11T13:17:07.672Z,65.0853,-150.1093,8.5,1.8,ml,,,,0.96,ak,ak02360v8rbn,2023-05-11T13:20:06.262Z,"26 km ENE of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-05-11T13:08:12.440Z,39.708,-122.8605,4.17,1.91,md,26,119,0.2546,0.21,nc,nc73886521,2023-05-11T21:29:15.445Z,"13km WNW of Alder Springs, CA",earthquake,0.39,2.13,0.126,22,reviewed,nc,nc
2023-05-11T13:06:19.810Z,35.3725,-118.4706667,4.86,1.6,ml,31,58,0.0907,0.12,ci,ci40222775,2023-05-11T18:23:05.960Z,"24km S of Bodfish, CA",earthquake,0.16,0.51,0.171,24,reviewed,ci,ci
2023-05-11T13:06:14.960Z,61.4586,-147.5486,0,1.5,ml,,,,0.86,ak,ak02360v6ewt,2023-05-11T17:47:56.657Z,"Southern Alaska",ice quake,,0,,,reviewed,ak,ak
2023-05-11T12:59:32.760Z,18.9425,-67.6531,31,3.5,md,14,189,0.5845,0.56,pr,pr2023131007,2023-05-11T14:44:15.866Z,"Mona Passage",earthquake,2.11,12.34,0.05,7,reviewed,pr,pr
2023-05-11T12:57:07.408Z,39.2989,-120.1467,10.2,1,ml,14,102.63,0.086,0.1148,nn,nn00859358,2023-05-11T19:58:59.827Z,"4 km SE of Truckee, California",earthquake,,1.4,0.38,5,reviewed,nn,nn
2023-05-11T12:03:19.575Z,55.2274,163.1793,36.017,5,mb,59,100,3.461,1.33,us,us6000kb2y,2023-05-11T12:20:38.040Z,"119 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,8.23,5.744,0.035,264,reviewed,us,us
2023-05-11T11:58:45.790Z,63.1964,-151.345,0,2,ml,,,,0.86,ak,ak02360uardp,2023-05-11T12:18:25.826Z,"42 km SSE of Denali National Park, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-05-11T11:56:50.370Z,40.7515,-112.131,3.76,1.12,md,26,61,0.0747,0.14,uu,uu60539636,2023-05-11T13:19:04.030Z,"5 km NNW of Magna, Utah",earthquake,0.26,0.94,0.317,12,reviewed,uu,uu
2023-05-11T10:58:37.140Z,19.1753330230713,-155.403839111328,31.6800003051758,2.18,ml,44,170,,0.129999995,hv,hv73396387,2023-05-11T11:04:08.600Z,"Island of Hawaii, Hawaii",earthquake,0.63,0.709999979,0.03,3,automatic,hv,hv
2023-05-11T10:58:21.430Z,33.701,-117.923,15.05,1.78,ml,66,64,0.02347,0.21,ci,ci40222719,2023-05-11T18:05:46.293Z,"3km ESE of Fountain Valley, CA",earthquake,0.2,0.31,0.177,32,reviewed,ci,ci
2023-05-11T10:50:17.870Z,19.1176,-64.7836,60,3.65,md,6,289,0.9514,0.34,pr,pr2023131006,2023-05-11T11:22:51.274Z,"87 km N of Cruz Bay, U.S. Virgin Islands",earthquake,6.19,11.79,0.02,4,reviewed,pr,pr
